OrderID,ProductID,UnitPrice,Quantity,Discount,OrderValue,UnitPrice_Standardized,UnitPrice_Normalized,Quantity_Standardized,Quantity_Normalized,OrderValue_Standardized,OrderValue_Normalized,UnitPrice_Winsorized
10248,11,14.0,12.0,0.0,168.0,-0.26713855275114673,0.009284332688588007,-0.44694002328998206,0.02217741935483871,-0.1855852432557586,0.0014966459096132773,14.0
10248,42,9.8,10.0,0.0,98.0,-0.34317831164900103,0.006034816247582205,-0.5146654012216911,0.01814516129032258,-0.20888820063148408,0.0008730434472744117,9.8
10248,72,34.8,5.0,0.0,174.0,0.10943930083822724,0.025377176015473887,-0.6839788460509638,0.008064516129032258,-0.18358784690926783,0.001550097549242323,34.8
10249,14,18.6,9.0,0.0,167.4,-0.18385691205349666,0.012843326885880078,-0.5485280901875457,0.016129032258064516,-0.18578498289040768,0.0014913007456503727,18.6
10249,51,42.4,40.0,0.0,1696.0,0.2470350550343447,0.03125725338491296,0.5012152677539453,0.07862903225806452,0.3230850263172204,0.015108996801810229,42.4
10250,41,7.7,10.0,0.0,77.0,-0.38119819109792824,0.004410058027079304,-0.5146654012216911,0.01814516129032258,-0.2158790878442017,0.0006859627085727522,7.7
10250,51,42.4,35.0,0.15,1261.3999999999999,0.2470350550343447,0.03125725338491296,0.3319018229246726,0.06854838709677419,0.17840695095307332,0.011237316371346355,42.4
10250,65,16.8,15.0,0.15,214.2,-0.2164453801525771,0.011450676982591876,-0.3453519563924184,0.028225806451612906,-0.1702052913877798,0.0019082235347569285,16.8
10251,22,16.8,6.0,0.05,95.76,-0.2164453801525771,0.011450676982591876,-0.6501161570851093,0.010080645161290322,-0.20963389526750728,0.0008530881684795681,16.8
10251,57,15.6,20.0,0.05,296.4,-0.2381710255519641,0.010522243713733075,-0.17603851156314565,0.038306451612903226,-0.14284096144085645,0.0026405109976748533,15.6
10251,65,16.8,20.0,0.0,336.0,-0.2164453801525771,0.011450676982591876,-0.17603851156314565,0.038306451612903226,-0.12965814555401745,0.0029932918192265546,16.8
