OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderYear,OrderMonth,OrderDay,DayOfWeek,Quarter,Freight_Standardized,Freight_Normalized
10248,VINET,5,1996-04-07,1996-08-01 00:00:00,1996-07-16 00:00:00,3,32.38,VINS ET ALCOOLS CHEVALIER,59 rue de l'Abbaye,Reims,Unknown,51100,France,1996.0,4.0,7.0,Sunday,2.0,-0.2540368325139264,0.05710924752400107
10249,TOMSP,6,,1996/08/16,1996-07-10 00:00:00.000,1,11.61,TOMS SPEZIALITÄTEN,Luisenstr. 48,Münster,Unknown,44087,Germany,,,,,,-0.336148862846186,0.05185494377616717
10250,HANAR,4,,05-08-1996,1996-07-12 00:00:00.000,2,65.83,Hanari Carnes,"rua do paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,,,,,-0.12179574370246352,0.06557128220695937
10251,VICTE,3,1996-08-07,1996-08-05 00:00:00.000,1996/07/15,1,41.34,VICTUAILLES EN STOCK,"2, rue du Commerce",Lyon,Unknown,69004,France,1996.0,8.0,7.0,Wednesday,3.0,-0.21861440633303825,0.05937590913115522
10252,SUPRD,4,,06.08.1996,1996-07-11 00:00:00.000,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,,,,,,-0.1792385843730332,0.06189554636410782
10253,HANAR,3,1996-10-07,1996/07/24,1996-07-16 00:00:00.000,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,1996.0,10.0,7.0,Monday,4.0,-0.15207875537049956,0.06363348891334321
10254,CHOPS,5,,1996/08/08,23.07.1996,2,22.98,Chop-suey Chinese,Hauptstr. 31,BERN,Unknown,3012,Switzerland,,,,,,-0.291198752837626,0.0547312766414956
10255,RICSU,9,,1996-08-09 00:00:00.000,15.07.1996,3,148.33,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,,,,,,0.20435940807468714,0.08644177133533185
10256,WELLI,3,,12.08.1996,1996-07-17 00:00:00.000,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,,,,,,-0.3268188488074699,0.05245196625305153
10257,HILAA,4,,08/13/1996,1996-07-22 00:00:00,3,81.91,HILARION-ABASTOS,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,,,,,,-0.058225139574262536,0.06963913026979851
10258,ERNSH,1,,1996-08-14 00:00:00,1996-07-23 00:00:00.000,1,140.51,ernst handel,KIRCHGASSE 6,Graz,Unknown,8010,Austria,,,,,,0.17344385308199228,0.08446350194158794
10259,CENTC,4,,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,méxico d.f.,Unknown,05022,Mexico,,,,,,-0.3691992515596039,0.049740067544492096
10260,OTTIK,4,,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,köln,Unknown,50739,Germany,,,,,,-0.16425521437017984,0.06285432398588398
10261,QUEDE,4,,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,2,3.05,Que Delícia,"Rua da Panificadora, 12",RIO DE JANEIRO,RJ,02389-673,Brazil,,,,,,-0.36998993071542735,0.0496894724193324
10262,RATTC,8,,08/19/1996,1996-07-25 00:00:00.000,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,albuquerque,NM,87110,USA,,,,,,-0.1911383056681753,0.06113408973045448
10263,ERNSH,9,,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,,,,,,0.19538519965609155,0.08586751666476936
10264,FOLKO,6,,1996-08-21 00:00:00.000,1996-08-23 00:00:00,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Unknown,S-844 67,Sweden,,,,,,-0.3675388253323748,0.04984631730732744
10265,BLONP,2,,22-08-1996,1996-08-12 00:00:00,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Unknown,67000,France,,,,,,-0.1635040691721476,0.06290238935478568
10266,WARTH,3,,1996-09-06 00:00:00.000,1996/07/31,3,25.73,Wartian Herkku,Torikatu 38,OULU,Unknown,90110,Finland,,,,,,-0.28032691444505425,0.055426959612441346
10267,FRANK,4,,1996-08-26 00:00:00.000,08/06/1996,1,208.58,Frankenversand,BERLINER PLATZ 43,München,Unknown,80805,Germany,,,,,,0.442551503766485,0.10168355278968873
10268,GROSR,8,,1996-08-27 00:00:00,02.08.1996,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,,,,,,-0.11997718164406967,0.06568765099482665
10269,WHITC,5,,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,1,4.56,White Clover Markets,1029 - 12th Ave. S.,seattle,WA,98124,USA,,,,,,-0.36402030308896066,0.05007146561428807
10270,WARTH,1,,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Unknown,90110,Finland,,,,,,0.15774887183889788,0.08345918870716806
10271,SPLIR,6,,08/29/1996,1996-08-30 00:00:00.000,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,,,,,,-0.364099371004543,0.0500664061017721
10272,RATTC,6,,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,,,,,,0.005503600385103148,0.0737170973576696
10273,QUICK,3,,1996/09/02,1996-08-12 00:00:00.000,3,76.07,QUICK-Stop,Taucherstraße 10,cunewalde,Unknown,01307,Germany,,,,,,-0.0813129709243057,0.06816175261513555
10274,VINET,6,,1996-09-03 00:00:00.000,16.08.1996,1,6.01,VINS ET ALCOOLS CHEVALIER,59 RUE DE L'ABBAYE,Reims,Unknown,51100,France,,,,,,-0.35828787920924104,0.05043828027169583
10275,MAGAA,1,,04.09.1996,1996-08-09 00:00:00.000,1,26.93,magazzini alimentari riuniti,via ludovico il moro 22,Bergamo,Unknown,24100,Italy,,,,,,-0.27558283951011386,0.05573053036339949
10276,TORTU,8,,22.08.1996,1996-08-14 00:00:00.000,3,13.84,TORTUGA RESTAURANTE,Avda. Azteca 123,MÉXICO D.F.,Unknown,05033,Mexico,,,,,,-0.3273327902587551,0.052419079421697726
10277,MORGK,2,,1996-09-06 00:00:00,Unknown,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Unknown,04179,Germany,,,,,,0.11517079929780806,0.08073464121731871
